Peak,Secondary Peak,Route Name,Climb Grade,Elevation Gain,Driving Distance (Miles),Driving Time (Hours),Typical Duration,Typical Season,Glaciated Peak,Rock Skills Required,Snow Angle,Rappelling Required,Crevasse Rescue Skills Required,Typical Gear,Notes,Guide Books,Phone Numbers
Cadet Peak,,West Rib,B,,250,6.5,2,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,Cadet Peak is the second-highest point in the Monte Cristo Group.,Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,Mt Baker / Snoqualmie Nat. Forest: (800) 627-0062
Cashmere Mountain,,West Ridge or North Gully,B,5300,250,5,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"From Smoot:  Cashmere Mt. is a great pyramid shaped peak rising up from Icicle Creek near the town of Leavenworth. Easily seen from Hwy 2 from Wenatchee, it's especially visible from the town of Cashmere, hence its name.  It's fairly popular due to it's proximity to Leavenworth, great views of the surrounding Stuart Range peaks, and because a hiking trail leads within 1.5 miles and 1,300 vertical feet of the summit.  It can be done as a long day climb car to car, or as a more relaxed overnight with a camp near Little Caroline Lake on the approach.  As this peak is on the eastern side of the Cascade crest, it may have drier weather than peaks further west. ",Climbing Washingtons Mountains by Jeff Smoot75 Scrambles in Washington by Peggy GoldmanCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"USFS Wenatchee Nat Forest, Leavenworth Ranger District  509-763-3103"
Castle Dome,,West Ridge,E,2500,400,6.5,1,summerautumn,FALSE,5,,TRUE,FALSE,Rock,,"Classic Rock Climbs No. 18 Castle Crags, California by Laird Davis (available in the Mazama Library)",
Castle Dome,,Regular Route,D,2500,400,6.5,1,summerautumn,FALSE,5,,TRUE,FALSE,Rock,,"Classic Rock Climbs No. 18 Castle Crags, California by Laird Davis (available in the Mazama Library)",
Castle Peak,Pinnacle Peak,Standard Route,B,1700,160,3.5,1,summerautumn,FALSE,4,upto35,TRUE,FALSE,Rock,"The Tatoosh Range, located in the southern end of Mt. Rain-Here Nat. Park, is made up of 11 named peaks.  This 3 peak link-up is one of the most popular, if only because of the easy access from the trailhead.  A popular Mazamas climb, this classic alpine scramble has a round trip hike of just 4 miles and 1,700 vertical feet, and thus can be done by most climbers of moderate fitness in a reasonable day.  Along with a park entrance fee, all of the Tatoosh peaks offer spectacular views of Mt. Rainier - given clear weather, naturally.  This is good beginner trip and fairly close to home.  Be prepared for a short rappel on Castle and possible a handline on Pinnacle, depending on your comfort level on exposed 3rd or easy 4th class rock.  In early season, an ice axe can be useful.  ""Tatoosh"" means 'nourishing breast "" in the local native American language.  If you are looking for more solitude and similar scramble peaks, check these other options for Tatoosh climbing. ",75 Scrambles in Washington by Peggy GoldmanCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Mt Rainier NP, Park HQ: 360-569-2211 ext 2334"
Cathedral Rock,,Southwest Gully,C,3300,265,5,1,summerautumn,FALSE,4,,TRUE,FALSE,Rock,"This is a 4th class scramble with one or two pitches of low 5th class. Getting to this trailhead requires crossing a creek. The creek is typically running low during the summer months but there is a relatively highly angled concrete pad at this spot. Low clearance vehicles (standard passenger cars) may not make it past this spot. There are pullouts here where you could park, but it is then a 3 mile walk on the road to the TH.",,All trails and some picnic areas and campsites in the Wenatchee National Forest require a regional pass costing $5/day or $30/year. For current conditions call the Cle Elum Ranger District at (509) 674-4411.
Chair Peak,,East Face,B,3100,200,4,1,summerautumn,FALSE,4,,TRUE,FALSE,Rock,"This is a 1 moderate climb on 4th class rock with a fairly easy approach.  This route has ""the peak's best rock climbing"" writes Beckey. This is a popular area close to Seattle with easy road access.  It's also a popular winter steep snow route.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,none
Chief Joseph Mountain,,Standard Route,A,5596,350,6.5,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"The Wallowa Mountains lie at the eastern end of the Blue Mountains of northeast Oregon. Protected largely by the vast Eagle Cap Wilderness, the Wallowas offer scramblers opportunities to enjoy miles of isolated ridges, dramatic glacial valleys and high elevation peaks. ",,"US Forest Service, Wallowa Mountains Visitor Center, Enterprise: 541-426-497"
Chimney Rock,,East Face Direct,E,4800,275,5,2,summerautumn,TRUE,5,35to50,TRUE,TRUE,rockandsnow,Optional ice climbing to ascend glacier to the east face.  Up to 10 pitches of 5th class rock with stretches of poorly protected 3rd and 4th class simul-climbing.  Rappel and down climb the route to descend.,Climbing Washingtons Mountains by Jeff SmootCascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,USFS Cle Elum Ranger District: 509-852-1100
Chiwawa Mountain,,Chiwawa River,B,4500,300,6,2,,TRUE,3,upto35,FALSE,TRUE,rockandsnow,Chiwawa Peak is a classic mixed climb peak located in an unusually beautiful area of the Central Cascades. ,Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey75 Scrambles in Washington by Peggy Goldman,"Wenatchee NF, Lake Wenatchee Ranger District: 509-763-3103"
Chiwawa Peak,,Red Mountain,B,4500,300,6,2,summerautumn,TRUE,4,35to50,FALSE,FALSE,rockandsnow,"Chiwawa Peak is a classic mixed climb peak located in an unusually beautiful area of the North-Central Cascades.  The peak is accessible best from above Spider Meadows -- a spectacular sub-alpine valley located north of Lake Wenatchee.  The normal approach is to ascend to the Spider Glacier, cross over Spider Gap and drop onto the Lyman Glacier, rope up, then ascend steep snow to the east summit ridge where a final scramble leads to the top.  More adventurous routefinding can offer an even more well rounded alpine experience.  Prepare for a fair bit of off trail travel.",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey75 Scrambles in Washington by Peggy Goldman,"Wenatchee NF, Lake Wenatchee Ranger District: 509-763-3103"
Church Mountain,,Church Mountain Trail,B,3900,350,7,1,summerautumn,FALSE,4,,FALSE,FALSE,Scramble,"Near Mt Baker, this peak offers Class 3 / 4 rock scramble from a lookout site to the summit block.",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,USFS Glacier Public Service Center: 360-599-2714 USFS Sedro Wooley Mt. Baker Ranger Station: 206-856-5700
Clark Mountain,,SE Slope,B,6200,250,6,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Scramble,"Clark Mountain is the highest peak in the Dakobed Range, a subrange of 8,000 foot peaks trending SE of Glacier Peak.  This route has a fairly long approach (about 22 miles round trip) followed by moderate snow and a class 3 rock scramble to the summit.  This is also a popular early season climb, when snow may lead most of the way to the summit.",Climbing Washingtons Mountains by Jeff SmootCascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,USFS Lake Wenatchee Ranger District 509-763-3103
Clyde Minaret,,Rock Route,B,3000,745,14,2,summerautumn,FALSE,4,upto35,TRUE,FALSE,Rock,"Base-camp for Clyde Minaret is at Lake Ediza (9,300 ft.), which is 6 miles from the Agnew Meadows trailhead (8,300 ft.). The approach to Clyde from Lake Ediza is about 1.75 miles, and the ascent of the North buttress begins at 11,100 ft. A rope is not necessary unless someone in your party is uncomfortable on exposed class 3. Most of the route is class 3 and the exposure is sustained at times - not a beginning class 3 route! The class 4 down climb along the summit ridge is not really very hard,",,RANGERS: Mammoth Lakes Welcome Center (760) 924-5500
Colchuck Peak,,North Buttress Couloir,C,5305,270,5,2,springsummer,TRUE,,35to50,FALSE,TRUE,Snow,"Colchuck Peak is strategically located in the central Cascades, providing outstanding views and a variety of enjoyable. The North Buttress Couloir on Colchuck is a good route option for those looking for something steeper and a bit more technical, yet not overly committing. The upper part of the route, the northwest face, looks awesome, like the classic alpine line that it is. ","Climbs in the Cascades, Volume I by Nelson and Potterfield","Wenatchee NF, Leavenworth Ranger District: 509-548-699"
Colchuck Peak,,Colchuck Glacier,B,5300,270,5,2,summerautumn,TRUE,3,35to50,FALSE,TRUE,rockandsnow,"A moderate snow, glacier and 3rd class scree / rock climb to a summit in the beautiful Enchantment Lakes area in central WA.  Getting a camping permit in this popular basin can be the crux of the climb.  Forest fires are common in this area in the summer - call the USFS before you leave town to be sure the trails are open.",Climbs in the Cascades Vol. 1 by Nelson and Potterfield75 Scrambles in Washington by Peggy GoldmanCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Wenatchee NF, Leavenworth Ranger District: 509-548-699"
Columbia Peak,,West Ridge,B,5200,225,5,2,summerautumn,TRUE,4,upto35,FALSE,FALSE,Scramble,"From Jeff Smoot:  Columbia Peak, another of the major summits of the Monte Cristo region, is one of the best climbs of the group and involves a reasonable approach with a fun, varied 800-foot summit scramble up the west spur. Columbia Peak is a good early summer climb because snow slopes can be ascended much of the way. Its a good late season climb too, with a good trail approach, a short ridge scramble, and a steep, enjoyable final scramble up snowfields and a long, rock gully to the summit. The best time to climb Columbia is after snow has melted off the summit area; when snow lingers on the upper ledge traverse, the route is too risky for mere Scramble, although a reasonable alternative route exists. ",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred BeckeyClimbing Washington's Mountains by Jeff Smoot,none at present
Iron Mountain,,Tahoma Creek,A,3500,150,3,1,summerautumn,FALSE,,,FALSE,FALSE,Scramble,"Copper and Iron are peaks located on the west side of Mt. Rainier National Park. Approach can be made from Longmire, Kautz Creek, or Tahoma Creek to Indian Henry's Hunting ground. From the ranger's summer cabin, head in an easterly direction on a footpath and gain the saddle between the 2 peaks. The route up Copper heads up a gully just west of the ridge to the peak. The route to Iron drops south below some rocky outcroppings and heads up a gully.","Guide to 100 Peaks at Mt. Rainier,Cascade Alpine Guide Vol. 1",Mt. Rainier National Park: 360-569-2211
Copper Mountain,,Wagonwheel Lake,A,4400,150,2.5,1,springsummer,FALSE,3,upto35,FALSE,FALSE,Scramble,"Hike the trail to Wagonwheel Lake, scramble up to the summit.",,Olympic National Park: 360-565-3130
Cowhorn Mountain,,West Ridge,A,2700,215,5,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,From Summitpost:,75 Scrambles in Oregon by Barbara Bond,"US Forest Service, Middle Fork Ranger Station, Oakridge, OR 541-782-2283"
Cowlitz Chimney,,West Side,B,4400,175,,2,summerautumn,FALSE,3,upto35,FALSE,FALSE,rockandsnow,"Take the Wonderland Trail to Panhandle Gap via Summerland. Head east, skirting Banshee peak to the base of Cowlitz Chimney. Scramble several hundred feet to the top. Full description of the route can be found inCascade Alpine Guide Volume 1.",Cascade Alpine Guide Volume 1 (Beckey) Climbing Washington Mountains (Smoot),Mt. Rainier Park Information 360-569-6575
Cusick Mountain,,North Ridge,A,4500,330,7,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"The 10th highest peak in the Wallowa Range, it's fairly remote (13 miles to the nearest trailhead.)",100 Hikes: Travel Guide Eastern Oregon by William Sullivan75 Scrambles in Oregon by Barbara Bond,"Wallowa-Whitman National Forest, Eagle Cap Ranger District, Wallowa Mountains Visitor Center"
Cutthroat Peak,,South Buttress,E,3000,340,7,1,summerautumn,TRUE,5,,TRUE,FALSE,Rock,"This long and somewhat complicated route boats a beautiful approach but climbing of mixed quality. While there are high quality pitches of extremely enjoyable climbing, they are relatively short. Expect loose, scree filled gullies, and rock climbing up to 5.8.","Climbs in the Cascades, Volume II by Nelson and PotterfieldCascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey","Okanogan National Forest, Methow Valley Ranger District: 509-996-4003"
Cutthroat Peak,,West Ridge,E,3800,340,7,1,summerautumn,TRUE,5,,FALSE,FALSE,Rock,"Cutthroat Peak is located about two miles west of Washington Pass (north from the road) in Washington's North Cascades.   It's close to the road, and offers a nice easy acess alpine rock trip with sections of exposed 3rd and 4th class with a pitch or two of mid 5th class at the summit.",Climbs in the Cascades Vol. 2 by Nelson and PotterfieldCascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,"Okanogan National Forest, Methow Valley Ranger District: 509-996-4003"
Del Campo Peak,,South Gully,B,4300,250,5,2,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,"Del Campo Peak is in the Monte Cristo area, a region with a rich history of attempted mining development in the early 1900s.  These attempts were unsuccessful and the town of Monte Cristo abandoned.  Del Campo is named for a mine on its slopes.  Foggy Lake is nestled above Gothic Basin, a beautiful alpine basin surrounded by Del Campo Peak, Castle Rocks and Gothic Peak.  This can be a problem area for car break-ins, so try not to leave anything tempting in your car.",Climbing Washingtons Mountains by Jeff SmootCascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey75 Scrambles in Washington by Peggy Goldman,USFS Darrington Ranger District Office: 360-436-1155
Del Campo Peak,,Southwest Buttress,B,4300,250,5,1,summerautumn,FALSE,4,35to50,FALSE,FALSE,Snow,"This route is a slightly more technical version of the south ""scramble"" route up Del Campo.  Although the peak is relatively small compared to others in the region, it seems relatively isolated.  It's one of the more popular scramble routes in the area, and the beautiful Gothic Basin makes for great camping.",Climbing Washingtons Mountains by Jeff SmootCascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey75 Scrambles in Washington by Peggy Goldman,"Mt. Baker / Snoqualmie NF, Darrington Ranger Station: 360-436-1155"
Dent du Geant,,SW Face,D,2000,,,1,springsummer,TRUE,5,upto35,TRUE,TRUE,rockandsnow,"Leaving the Torino hut traverse the Col du GÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄå´Ìâå©ant to the east. This leads to much moderate Scramble on 3rd class rock to the ""Salle ÌÄåÎÌÄå__ÌÄåÎÌÄå__ Manger"", a high platform just under the Dent and at the western end of the Rochefort ArÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌâå_te. At Salle ÌÄåÎÌÄå__ÌÄåÎÌÄå__ Manger leave ice climbing gear, and perhaps mountain boots, don rock shoes and begin climb of the Dent du GÌÄåÎÌÄå__ÌÄåÎÌâå«ÌÄå´Ìâå©ant. The route curves up and left to reach the huge slabs of the SW Face. Crack systems are followed, curving back right to the highest summit. The route has been equipped with fixed ropes to make an otherwise very difficult ascent a bit more ""democratic"". While most climbers use these ropes as useful handholds, it is also possible to climb the route free at about 5.9 in difficulty. Descent is by rappel on a direct route on the vertical South Face.",Mont Blanc classic & plaisir - Marco Romelli,Mountain Rescue (PGHM): +33 (0)4 50 53 16 89
Dewey Peak,,Chinook Pass,B,3600,240,4.5,1,summerautumn,FALSE,4,,FALSE,FALSE,Rock,Dewey and Seymour are peaks located south of Chinook Pass on the east side of Mt. Rainier National Park. Drive SR 410 to Chinook Pass. Follow the PCT south to a point west of Dewey Lake and continue cross country battling brush along the way to a gully below the Dewey Seymour col. Climb the gully and head east to the NW ridge of Dewey. Find a gully on the SW side leading to a notch below the main peak. Climb 80' of 4th class rock to the summit. Return to the col and head west to the Seymour summit.,Guide to 100 Peaks at Mt. Rainier,Mt. Rainier National Park - 360-569-2211
